experiment,value
current_config_self_supervised_epochs,200
recorded_self_supervised_epochs,100
initial_simclr_loss,5.6214
final_simclr_loss,4.6586
linear_evaluation_accuracy_percent,67.05
configured_ttt_corruption,shot_noise
configured_ttt_severity,5
configured_ttt_baseline_accuracy_percent,33.02
configured_ttt_actmad_accuracy_percent,69.12
configured_ttt_improvement_percentage_points,36.10
configured_ttt_baseline_correct,3302
configured_ttt_actmad_correct,6912
configured_ttt_total,10000
all_corruption_eval_csv,results/test_time_training/corruption_eval.csv
all_corruption_severity,5
all_corruption_count,15
all_corruption_mean_baseline_accuracy_percent,54.82
all_corruption_mean_actmad_accuracy_percent,70.22
all_corruption_mean_improvement_percentage_points,15.40
all_corruption_improved_count,14
all_corruption_hurt_count,1
best_gain_corruption,impulse_noise
best_gain_percentage_points,41.59
negative_gain_corruption,brightness
negative_gain_percentage_points,-1.55
step_sweep_csv,results/test_time_training/ttt_steps_sweep.csv
step_sweep_3_steps_ttt_accuracy_percent,53.60
step_sweep_3_steps_gain_percentage_points,20.58
step_sweep_5_steps_ttt_accuracy_percent,60.34
step_sweep_5_steps_gain_percentage_points,27.32
step_sweep_10_steps_ttt_accuracy_percent,69.09
step_sweep_10_steps_gain_percentage_points,36.07
